sentence_index	tweet_id
0	849667487180259329
1	850490912954351616
2	848791766853668864
3	848306464892604416
4	850010509969465344
5	850433664890544128
6	847529600108421121
7	848619867506913282
8	850411934205845504
9	848325397985071104
10	849087242987593728
11	850449456445235200
12	850100742035836929
13	847945888995708928
14	850577240127623169
15	849811213416574976
16	849282894682050564
17	848491429517295616
18	847972153727299584
19	850455815001522176
20	847534226413105152
21	847804507367100416
22	849562231129993216
23	848317802092130306
24	850814012753403907
25	848377830996148224
26	847851483571814400
27	850344984742174720
28	847482196096987137
29	848813568820518913
30	848668638869671939
31	850660404770590720
32	848638037231906817
33	850090319165050880
34	850387833751650305
35	850590552856948737
36	848610228967010305
37	847394619029467136
38	848074037540597760
39	848992241981018112
40	849881409284182016
41	848437713061634052
42	849636831033532417
43	848866727429455872
44	848926030723031040
45	849429355583426561
46	850311262504407044
47	848600351381098496
48	848455845021196288
49	850672203372916736
50	850334784194609152
51	848975292794318848
52	848037224134430720
53	847496569947422725
54	849054770694434816
55	849303652280020995
56	847876720719912960
57	850346419164553218
58	847803697857953794
59	848960621127270400
60	849300057782456321
61	849049657833656327
62	849337999431274497
63	850512261974286336
64	848901053634547713
65	847678124628131841
66	848958729513054208
67	848686686930382848
68	848999561066663939
69	849966683662032896
70	849744347822268417
71	849681366132436994
72	848834691356667904
73	848067175680274433
74	849574897940606976
75	850380636300820480
76	848652738267406337
77	849797741312180224
78	850720957941547008
79	850071247673151488
80	849312338704551936
81	849107027527745536
82	848427885811597312
83	847652946217009155
84	849464319288987650
85	848005091579899905
86	848712276408512513
87	847434833995350016
88	847535899974004737
89	848338236770582529
90	848337741813358592
91	850103669655842816
92	850182237362544642
93	850131301713793024
94	848601639057575936
95	850562987870105600
96	850795142583693312
97	850447602550222848
98	847542736651767809
99	848075480368545792
100	850822304892420096
101	850082782017703936
102	847704741643669504
103	849103588198666240
104	849763234743808002
105	848208045553438720
106	850354807772786688
107	848773425136934912
108	848677539186978817
109	849203190314684417
110	850025252952440833
111	848993277986701312
112	850606327625728000
113	847529042261704707
114	848554797049421824
115	848556688689033216
116	848835698006401024
117	848738847307350016
118	849013733623975939
119	850545619274014720
120	849310820345532416
121	849367976138727426
122	848323384727437318
123	850007192262651905
124	848967898240602113
125	848964211472519169
126	850612656834662400
127	850356342900445186
128	848642839701598208
129	850451327129985024
130	847413354993901572
131	849902645024137217
132	849428428633853953
133	849423621961506816
134	850215875680522240
135	847860379682320384
136	848989217921409026
137	848304585852760065
138	849922895132459008
139	847917841659473920
140	849042540091387904
141	847663964657860609
142	849327505312026624
143	848388874573410306
144	847512604788609025
145	850204651714600960
146	848372038670704640
147	849711858751868936
148	848275464820891649
149	850456305756131328
150	847760077108822016
151	850730541943054337
152	848749681211568128
153	848773680989560833
154	849427879196848128
155	847883620345757696
156	848573151328043011
157	847929749292929025
158	849812975007432704
159	847545240680636416
160	850084090623787012
161	850186343560994816
162	847925424965505025
163	848110494422630400
164	847520418793762816
165	850165976016461824
166	849115860715413504
167	849517133969199104
168	848741150005571584
169	847434456524902405
170	849570103842689025
171	850026196633092096
172	848075681695125504
173	850833365293031424
174	848664213853798401
175	850585096067350528
176	848794237306937344
177	850054621447897088
178	848681938986651650
179	850208195909885953
180	849623568619057152
181	847591914874572800
182	849426637657710592
183	850163392337764353
184	847934807615184897
185	848039367448940544
186	850015966750806017
187	848632521701175297
188	848705682937450496
189	848937443432824832
190	848982859352244227
191	849173893122281472
192	848594131257577473
193	848129633061134336
194	847515817638055939
195	848570232109125633
196	848537659144273920
197	848898276984311808
198	849751289399566336
199	847614765463617538
200	849059623504052226
201	850509426616221696
202	849797502211563521
203	847811708995481600
204	850172120697102336
205	850741375817601025
206	849091848337489920
207	848171609659592706
208	849141328512335872
209	849760592332115968
210	849771698870255616
211	849294349326323717
212	847940566386126848
213	848028080576888832
214	850738729203503104
215	847523526751981569
216	849504328779956224
217	848272671410446338
218	848524862305861632
219	847842755221090309
220	850392854304346113
221	850402564143230979
222	849406978984226817
223	849167274485334016
224	849874505442803712
225	850726225979076608
226	847661490001727489
227	849007014353281024
228	848564053874270209
229	850799110391201792
230	849464847800696832
231	849261080119361536
232	847908748433780736
233	849191429494546434
